Store Name,Row ID,Title,Code,Description,Expiry Date,Status
"Vevor AU","c216d633-6176-4b00-9321-e87244628b64","15% Off Sitewide Code","VVPROMO","15% Off Sitewide Code","Dec 31, 2026","Active"
"RedMagic DE","54567f62-adf3-426d-8f1e-1a93d8ed9c19","10% Rabattcode für das gesamte Sortiment","REDMAGIC10AC","10% Rabattcode für das gesamte Sortiment","Dec 31, 2026","Active"
"Miravia ES","3d702de5-a9ff-46e1-8bdc-707411732949","10% de descuento en tus primeros pedidos","REQUIERE REGISTRO","10% de descuento en tus primeros pedidos","Dec 31, 2026","Active"
"Cotosen","cae62f8f-24c1-40e3-969a-667b748fdc46","15% Off Sitewide Code","WELCOME","15% Off Sitewide Code","Dec 31, 2026","Active"
"Casetify","3d55e7d4-b940-4f2c-9a21-adcc622c8aea","20% Off Sitewide Code","15JEFFREYC","20% Off Sitewide Code","Dec 31, 2026","Active"
"Hunza G","3fbad6dd-8acb-4e13-bb68-47981466ced1","10% Off Sitewide Code","FREESHIP","10% Off Sitewide Code","Dec 31, 2026","Active"
"Tantaly","6edab3b3-6fae-4aa9-80bd-22fbc9197460","15% Off Sitewide Code","LILBOOTYGOTH1","15% Off Sitewide Code","Dec 31, 2026","Active"
"Sylvox","f65a1f8b-1201-4f0a-a92f-112897907481","10% Off Sitewide Code","sylvox8","10% Off Sitewide Code","Dec 31, 2026","Active"
"Jennibag","622e030c-3265-4e72-b585-a5e92bc63871","20% Off Sitewide","MASOODR","20% Off Sitewide","Dec 31, 2026","Active"
"Voyage Luggage","3119bf26-e67e-43f9-a231-761cbe544b4c","10% Off Sitewide Code","SPECIAL5","10% Off Sitewide Code","Dec 31, 2026","Active"
"Tribesigns","3306237f-85e7-48dd-b834-6cc6441d3645","20% Off Sitewide Code","WD20","20% Off Sitewide Code","Dec 31, 2026","Active"
"Neo Sabers","954f827f-f36c-41aa-b679-56ce4021bc25","35% Off Sitewide Code","MASOODRKHAN","35% Off Sitewide Code","Dec 31, 2026","Active"
"Meaco UK","e6398c11-2212-4230-a9c9-5a7bdba18115","10% Off Sitewide Code","MEACO5","10% Off Sitewide Code","Dec 31, 2026","Active"
"Appaman","9f4c4f4c-7d1b-4af7-a897-d9ac3ff101d8","30% Off Sitewide Code","GIFT30","30% Off Sitewide Code","Dec 31, 2026","Active"
"YesWelder","09348c76-a0cb-4f26-8cbf-fbf07d7a38e4","35% Off Sitewide Code","MASOODRKHAN","35% Off Sitewide Code","Dec 31, 2026","Active"
"American Standard","ceb227d4-6607-4337-909e-fad2843de123","10% Off Sitewide Code","SAVETENAMST","10% Off Sitewide Code","Dec 31, 2026","Active"
"Scheels","de14740d-bea8-4886-926f-36ab27022695","25% Off Sitewide Code","WELCOME25","25% Off Sitewide Code","Dec 31, 2026","Active"
"Cosabella","175a1b76-9dd2-4939-93d3-d167a184365e","20% Off Sitewide Code","ADBV1","20% Off Sitewide Code","Dec 31, 2026","Active"
"Brastop","ff070bb5-f72f-457b-b946-8884e54bbec4","15% Off Sitewide Code","WELQAKXQ","15% Off Sitewide Code","Dec 31, 2026","Active"
"Andie Swim","50c557b6-2b15-4181-9ae3-cddbec699c06","15% Off Sitewide Code","W-Y78ZNH","15% Off Sitewide Code","Dec 31, 2026","Active"
"Powerstep","70212a6f-24dc-4a77-a30c-b00360d914d7","20% Off Sitewide Code","POWER20","20% Off Sitewide Code","Dec 31, 2026","Active"
"Adagio Teas","32ba1556-d70b-4a9f-9da9-0aaa5c0ea542","15% Off Sitewide Code","SAVE15","15% Off Sitewide Code","Dec 31, 2026","Active"
"Best Vet Care","467853a7-7878-4894-9077-4120c7ac00a7","35% Off Sitewide Code","BESTPREZ","35% Off Sitewide Code","Dec 31, 2026","Active"
"Hypershell","6d4e3734-2ac3-4d68-9869-6f2fcfd84587","$10 Off Sitewide Code","RAC10HSX7W3","$10 Off Sitewide Code","Dec 31, 2026","Active"
"Belffin","d885fbc3-9e17-4a65-801a-b0e19b52cc03","20% Off Sitewide Code","BELFFINAFF","20% Off Sitewide Code","Dec 31, 2026","Active"
"Govee","5b5fe31c-a6d6-4170-801f-1eb8139af32f","20% Off Sitewide Code","HM20","20% Off Sitewide Code","Dec 31, 2026","Active"
"Shapellx","47f145a5-080b-42b2-ad23-61aae770978a","20% Off Sitewide Code","SXW20","20% Off Sitewide Code","Dec 31, 2026","Active"
"Wheel Hero","3315327b-8024-48c8-8967-5a426331ae5c","15% Off Sitewide Code","TAX85","15% Off Sitewide Code","Dec 31, 2026","Active"
"Vantrue","691b75ee-f0d0-4eea-bf53-0583067d6ea7","15%  Off Sitewide Code","VANTRUE10","15%  Off Sitewide Code","Dec 31, 2026","Active"
"TruHeight","eacc9caf-4b58-4031-a2c6-f1149c8d7f86","17% Off Sitewide Code","WELCOME17","17% Off Sitewide Code","Dec 31, 2026","Active"
"Hoka One CA","9668995e-8c57-414e-8c68-c35c48048953","15% Off Sitewide Code","HOKA15","15% Off Sitewide Code","Dec 31, 2026","Active"
"Philips Hue UK","59065a20-85e2-4a3b-a102-10a3a58f0e78","15% Off Sitewide Code","WELCOME-YMREE","15% Off Sitewide Code","Dec 31, 2026","Active"
"Serta","ebccc39f-d15f-4247-b135-a3b37a9053fa","16% Off Sitewide Code","PRESIDENT26","16% Off Sitewide Code","Dec 31, 2026","Active"
"Showery","e478bd54-4f51-43ba-b898-8691990110d1","20% Off Sitewide Code","SAVE20","20% Off Sitewide Code","Dec 31, 2026","Active"
"Dyson CA","935e299e-2339-4c41-94bd-acc60c43d63e","5% Off Sitewide Code","WELCOME-5","5% Off Sitewide Code","Dec 31, 2026","Active"
"Zinus","b5c76e00-511a-4c85-802a-0e68881ac999","20% Off Sitewide Code","ZINUS20","20% Off Sitewide Code","Dec 31, 2026","Active"
"DryWater","95e7f48b-392d-4e2c-9183-049be134b3f3","15% Off Sitewide Code","HYDRATION","15% Off Sitewide Code","Dec 31, 2026","Active"
"Phones Direct UK","57d501f5-2785-4bbb-bddd-9cf1c0ccae53","£5 Off Sitewide Code","COMEBACK5","£5 Off Sitewide Code","Dec 31, 2026","Active"
"Ifly","47ca0671-b3e0-40e3-99cb-9e5288464479","10% Off Sitewide Code","SD5","10% Off Sitewide Code","Dec 31, 2026","Active"
"Huega House","2daacf65-2c39-4c66-9da6-d87799a44813","40% Off Sitewide Code","HHXNFLPA40","40% Off Sitewide Code","Dec 31, 2026","Active"
"Franklin Sports","3a287118-1248-48eb-a9dc-77eceabed5dd","15% Off Sitewide Code","Will15","15% Off Sitewide Code","Dec 31, 2026","Active"
"Beauty Forever","ea714e32-bb6c-442f-bf8f-dd0f06e33f3e","20% Off Sitewide Code","BRAND","20% Off Sitewide Code","Dec 31, 2026","Active"
"Acmejoy","df44fb10-1d56-452f-971c-1beb10d0702c","25% Off Sitewide Code","NEW25","25% Off Sitewide Code","Dec 31, 2026","Active"
"Braun UK","db0b3d4b-435c-430a-8ed0-a1d3cbf92414","20% Off Sitewide","SAVEEXTRA50","20% Off Sitewide","Dec 31, 2026","Active"
"Bestvibe","6034b345-86ad-4f90-aefd-fb3849511da7","Spring Deal Coupon: 15% Off Sitewide","DOUBLE50","Spring Deal Coupon: 15% Off Sitewide","Dec 31, 2026","Active"
"Bestvibe","186e9b4e-d7aa-4b8a-b980-e6a28e0116c5","15% Off Sitewide Code","HELLO15","15% Off Sitewide Code","Dec 31, 2026","Active"
"Aquasana","47bc3769-500f-44d3-9475-08f84b248cd5","$5 Off Sitewide Code","AQTXT","$5 Off Sitewide Code","Dec 31, 2026","Active"
"Alpinestars","c0e1d140-e1c9-4f58-9286-c0aff3cf9114","10% Off Sitewide Code","TVTJ006N499M","10% Off Sitewide Code","Dec 31, 2026","Active"
"Ofcasa Furniture UK","a53f2145-0d14-4114-8747-13fb8e43cd27","15% Off Sitewide Code","NEW2021","15% Off Sitewide Code","Dec 31, 2026","Active"
"STDcheck","9fdea01b-c744-4971-89c3-8ce80aa0eac3","10% Off Sitewide Code","STD10","10% Off Sitewide Code","Dec 31, 2026","Active"
"Rugs Direct","07686ee5-103e-4a83-87c6-e33d24249073","10% Off Sitewide Code","SAVE10","10% Off Sitewide Code","Dec 31, 2026","Active"
"Mous UK","d804b2fd-1821-46ee-a1ac-a6640391c5e2","15% Off Sitewide Code","ULTRAFAST15","15% Off Sitewide Code","Dec 31, 2026","Active"
"Waterdrop","3ff17e63-06d9-40cd-ab81-8e1e7b259c9e","15% Off Sitewide Code","WATERDROP15","15% Off Sitewide Code","Dec 31, 2026","Active"
"Keychron","4eb5eed8-7a9d-4ef1-87d8-cc66ddf626f7","20% Off Sitewide Code","WELCOME20","20% Off Sitewide Code","Dec 31, 2026","Active"
"Avidlove","68b673c8-1c88-4f46-ac39-ab76cb63831b","30% Off Sitewide Code","WEAR31","30% Off Sitewide Code","Dec 31, 2026","Active"
"Babeside","db4e4ab6-a331-48a0-949d-4729efbc20cc","20% Off Sitewide Code","BABESIDE20","20% Off Sitewide Code","Dec 31, 2026","Active"
"My Green Mattress","8ed2a56b-6b85-447b-87ab-beb283028c25","17% Off Sitewide Code","LETITOUT","17% Off Sitewide Code","Dec 31, 2026","Active"
"DC Shoes","61c58423-5f79-4dee-b0c6-a91d2147f285","10% Off Sitewide Code","AB-DCEZ4G535EG1","10% Off Sitewide Code","Dec 31, 2026","Active"
"Carhartt UK","a0f92294-bbba-4888-ab0f-92ce9a356bea","10% Off Sitewide Code","EARLYBIRD25","10% Off Sitewide Code","Dec 31, 2026","Active"
"Feather And Black","fe518fd4-bfe1-46ae-b638-56079df1567a","10% Off Sitewide Code","WPQX747G","10% Off Sitewide Code","Dec 31, 2026","Active"
"Agent Provocateur UK","e38c4a97-0296-46cd-9b2d-9d4b37a2b46f","30% Off Sitewide Code","EXTRA40","30% Off Sitewide Code","Dec 31, 2026","Active"
"Julian Charles UK","3262a8e9-0dc5-4bbd-aee0-fb48afdff0c2","15% Off Sitewide Code","EXTRA15","15% Off Sitewide Code","Dec 31, 2026","Active"
"Just Flowers","741521e3-0119-46bc-abb9-a20d548c805e","$10 Off Sitewide Code","SAVE10","$10 Off Sitewide Code","Dec 31, 2026","Active"
"Best Choice Products","5bd8c81a-61c5-47a3-aa56-950808ca6c9f","15% Off Sitewide Code","TOGETHERHOME","15% Off Sitewide Code","Dec 31, 2026","Active"
"American Fighter","b1c37d52-012f-48d4-a9f5-28f8797c7285","15% Off Sitewide Code","AMFICG1678","15% Off Sitewide Code","Dec 31, 2026","Active"
"Hooke Road","699353f0-7583-4448-9f51-81673e7fe991","10% Off Sitewide Code","Auto Applied In Your Cart","10% Off Sitewide Code","Dec 31, 2026","Active"
"Amore Mall","30e16435-550e-4f7e-a713-2f1886cfd243","15% Off Sitewide Code","NEW15","15% Off Sitewide Code","Dec 31, 2026","Active"
"7 For All Mankind","5048973d-5877-4382-9372-55704ac7e14c","20% Off Sitewide Code","WELCOME20","20% Off Sitewide Code","Dec 31, 2026","Active"
"Vevor","89f094b6-120e-4dda-96f1-4fe46703da3c","25% Off Sitewide Code","VEVORAFF","25% Off Sitewide Code","Dec 31, 2026","Active"
"Zulily","ab448738-555d-4f67-83fe-5a845de2e31c","15% Off Coupon - Sitewide Code","15OFF","15% Off Coupon - Sitewide Code","Dec 31, 2026","Active"
"Merachfit","59e38eef-a939-4c40-8225-63a424f1fe22","10% Off Sitewide Code","EDGE10","10% Off Sitewide Code","Dec 31, 2026","Active"
"Goo Goo Hair","d5f742ef-a57a-45bc-9d7c-8b64bd3780cd","25% Off Sitewide Code","VA25","25% Off Sitewide Code","Dec 31, 2026","Active"
"Flexispot UK","004c4a5a-7f40-4f3e-a1de-f1d6247e61b2","20% Off Sitewide Code","FS10","20% Off Sitewide Code","Dec 31, 2026","Active"
"Magic Hour Tea","1ff82947-f802-4f78-b0d9-7c55619a0b75","15% Off Sitewide Code","POPTHEKETTLE","15% Off Sitewide Code","Dec 31, 2026","Active"
"Tesco UK","acda58c5-3306-4d2f-a0c8-288b960097db","Tesco Discount Code: 20% Off Sitewide","TESCO20OFF","Tesco Discount Code: 20% Off Sitewide","Dec 31, 2026","Active"
"British Airways UK","5ec29b09-5dd6-4862-b0fd-3f00b970b355","60% Off Sitewide Code","CARDOFFERC","60% Off Sitewide Code","Dec 31, 2026","Active"
"Gymshark UK","071054c2-cb22-4c46-8e0b-e96c7d13a0cd","25% Off Sitewide Code","NEW25","25% Off Sitewide Code","Dec 31, 2026","Active"
"Jack Wills UK","bf42cec0-359c-4788-9c4e-237b0599022a","30% Off Sitewide Code","WELCOME30","30% Off Sitewide Code","Dec 31, 2026","Active"
